Bedrooms,Bedrooms(category),Property Category,Price,Price(with currency),District,Scraped_At
1,1 bedroom,Furnished Studio Apartment in Wuse 2 for rent,6000000,"₦ 6,000,000",Wuse 2,2026-05-30 13:26:35
5,5 bedrooms,"5bdrm Duplex in Orange Estate Off, Gwarinpa for rent",10000000,"₦ 10,000,000",Gwarinpa,2026-05-30 13:26:35
4,4 bedrooms,4bdrm Duplex in Zone B for rent,9000000,"₦ 9,000,000",Zone B,2026-05-30 13:26:35
3,3 bedrooms,"Furnished 3bdrm Block of Flats in Vintage Villas, Jabi for rent",14000000,"₦ 14,000,000",Jabi,2026-05-30 13:26:43
6,6 bedrooms,"6bdrm Duplex in Naf Valley Estate, Asokoro for rent",30000000,"₦ 30,000,000",Asokoro,2026-05-30 13:26:43
3,3 bedrooms,Furnished 3bdrm Apartment in Wuse 2 for rent,45000000,"₦ 45,000,000",Wuse 2,2026-05-30 13:26:43
3,3 bedrooms,3bdrm Block of Flats in Katampe Main for rent,9000000,"₦ 9,000,000",Katampe (Main),2026-05-30 13:26:43
1,1 bedroom,"Mini Flat in Gwarimpa Estate, Gwarinpa for rent",1500000,"₦ 1,500,000",Gwarinpa,2026-05-30 13:26:43
1,1 bedroom,"Furnished 1bdrm Apartment in Legislative Quarters, Zone B for rent",1700000,"₦ 1,700,000",Zone B,2026-05-30 13:26:43
1,1 bedroom,"Mini Flat in Rock Garden City, Phase 2 / Jikwoyi for rent",500000,"₦ 500,000",Phase 2 / Jikwoyi,2026-05-30 13:26:43
3,3 bedrooms,"3bdrm Apartment in Victoria Garden, Mabushi for rent",10000000,"₦ 10,000,000",Mabushi,2026-05-30 13:26:43
1,1 bedroom,Furnished Studio Apartment in Wuse 2 for rent,800000,"₦ 800,000",Wuse 2,2026-05-30 13:26:43
2,2 bedrooms,"2bdrm House in Crd Estate, FHA for rent",2500000,"₦ 2,500,000",FHA,2026-05-30 13:26:43
4,4 bedrooms,4bdrm Duplex in Life Camp for rent,9000000,"₦ 9,000,000",Life Camp,2026-05-30 13:26:43
4,4 bedrooms,4bdrm Duplex in Asokoro for rent,17000000,"₦ 17,000,000",Asokoro,2026-05-30 13:26:43
2,2 bedrooms,"2bdrm Block of Flats in Beside Dunamis, Sabon Lugbe for rent",4000000,"₦ 4,000,000",Sabon Lugbe,2026-05-30 13:26:43
1,1 bedroom,"Furnished 1bdrm Apartment in Iyoba Apartment, Durumi for rent",5500000,"₦ 5,500,000",Durumi,2026-05-30 13:26:43
4,4 bedrooms,"Furnished 4bdrm Duplex in Rockvale Manor, Gudu for rent",13000000,"₦ 13,000,000",Gudu,2026-05-30 13:26:43
3,3 bedrooms,3bdrm Block of Flats in Wuse 2 for rent,11000000,"₦ 11,000,000",Wuse 2,2026-05-30 13:26:43
3,3 bedrooms,3bdrm Townhouse / Terrace in Apo Resettlement for rent,5000000,"₦ 5,000,000",Apo Resettlement,2026-05-30 13:26:43
3,3 bedrooms,3bdrm Duplex in Utako for rent,15000000,"₦ 15,000,000",Utako,2026-05-30 13:26:43
4,4 bedrooms,4bdrm Townhouse / Terrace in Maitama for rent,30000000,"₦ 30,000,000",Maitama,2026-05-30 13:26:43
3,3 bedrooms,Furnished 3bdrm Bungalow in Kado Estate Phase 1 for rent,18000000,"₦ 18,000,000",Kado,2026-05-30 13:26:43
4,4 bedrooms,Furnished 4bdrm Townhouse / Terrace in Maitama for rent,40000000,"₦ 40,000,000",Maitama,2026-05-30 13:26:43
1,1 bedroom,"1bdrm House in Rock Garden City, Phase 2 / Jikwoyi for rent",1360000,"₦ 1,360,000",Phase 2 / Jikwoyi,2026-05-30 13:26:43
5,5 bedrooms,Furnished 5bdrm Duplex in Guzape District for rent,60000000,"₦ 60,000,000",Guzape District,2026-05-30 13:26:43
4,4 bedrooms,4bdrm Duplex in Life Camp for rent,25000000,"₦ 25,000,000",Life Camp,2026-05-30 13:26:43
5,5 bedrooms,5bdrm Duplex in Maitama for rent,28000000,"₦ 28,000,000",Maitama,2026-05-30 13:26:51
4,4 bedrooms,Furnished 4bdrm Duplex in Hill View Community for rent,9000000,"₦ 9,000,000",Kubwa,2026-05-30 13:26:51
5,5 bedrooms,5bdrm Duplex in Apo Resettlement for rent,8000000,"₦ 8,000,000",Apo Resettlement,2026-05-30 13:26:51
4,4 bedrooms,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",8000000,"₦ 8,000,000",Galadimawa,2026-05-30 13:26:51
1,1 bedroom,1bdrm Block of Flats in Dawaki for rent,3500000,"₦ 3,500,000",Dawaki,2026-05-30 13:26:51
3,3 bedrooms,3bdrm Apartment in Jabi for rent,200000000,"₦ 200,000,000",Jabi,2026-05-30 13:26:51
2,2 bedrooms,Furnished 2bdrm Apartment in Ado White House for rent,7500000,"₦ 7,500,000",FHA,2026-05-30 13:26:51
4,4 bedrooms,4bdrm Duplex in Asokoro Fct for rent,28000000,"₦ 28,000,000",Asokoro,2026-05-30 13:26:51
