Property Category,Price (Per Annum),Location,Scraped_At
3 bedroom flat / apartment for rent,"₦5,500,000","Karmo, Abuja",2026-06-01 11:08:29
4 bedroom terraced duplex for rent,"₦12,000,000","Mabushi, Abuja",2026-06-01 11:08:29
3 bedroom flat / apartment for rent,"₦45,000,000","Wuse 2, Abuja",2026-06-01 11:08:29
3 bedroom flat / apartment for rent,"₦35,000,000","Wuse 2, Abuja",2026-06-01 11:08:29
3 bedroom flat / apartment for rent,"₦50,000,000","Wuse 2, Abuja",2026-06-01 11:08:29
3 bedroom flat / apartment for rent,"₦25,000,000","Guzape District, Abuja",2026-06-01 11:08:29
2 bedroom flat / apartment for rent,"₦21,000,000","Guzape District, Abuja",2026-06-01 11:08:29
4 bedroom detached duplex for rent,"₦23,000,000","Mabushi, Abuja",2026-06-01 11:08:29
Plaza / complex / mall for rent,"₦20,000,000","Wuse 2, Abuja",2026-06-01 11:08:29
3 bedroom flat / apartment for rent,"₦15,000,000","Asokoro District, Abuja",2026-06-01 11:08:29
Warehouse for rent,"₦38,500,000","Idu Industrial, Abuja",2026-06-01 11:08:29
7 bedroom semi-detached duplex for rent,"₦25,000,000","By Judges Quarters, Katampe, Abuja",2026-06-01 11:08:29
4 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja",2026-06-01 11:08:29
Self contain (single rooms) for rent,"₦2,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:08:29
1 bedroom flat / apartment for rent,"₦3,500,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:08:29
3 bedroom flat / apartment for rent,"₦11,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:08:29
4 bedroom terraced duplex for rent,"₦6,000,000","Close To Nzamiye Hospital, Idu Industrial, Abuja",2026-06-01 11:08:29
2 bedroom flat / apartment for rent,"₦6,000,000","Apo Resettlement, Apo, Abuja",2026-06-01 11:08:29
4 bedroom detached duplex for rent,"₦13,000,000","Apo Wumba, Along Lokogoma Expressway, Apo, Abuja",2026-06-01 11:08:29
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:08:37
