District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At,Source
Kado,4,8000000.0,House,House,4bdrm Bungalow in Kado for rent,2026-05-30 13:27:17,Jiji
Asokoro,4,40000000.0,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:27:17,Jiji
Gwarinpa,3,7000000.0,Apartment,Apartment,"3bdrm Block of Flats in Gwarimpa, Gwarinpa for rent",2026-05-30 13:27:17,Jiji
Gwarinpa,1,922250.0,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:27:17,Jiji
Gwarinpa,5,15000000.0,Duplex,Detached Duplex,"5bdrm Duplex in Gwarimpa Estate, Gwarinpa for rent",2026-05-30 13:27:17,Jiji
Gwarinpa,3,7000000.0,House,House,"3bdrm Bungalow in Efab Version,By, Gwarinpa for rent",2026-05-30 13:27:17,Jiji
Kubwa,3,6000000.0,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Dantata Estate, Kubwa for rent",2026-05-30 13:27:17,Jiji
Jahi,3,25000000.0,Apartment,Apartment,Furnished 3bdrm Apartment in Jahi for rent,2026-05-30 13:27:17,Jiji
Jahi,1,6000000.0,Apartment,Apartment,1bdrm Apartment in Jahi for rent,2026-05-30 13:27:17,Jiji
Maitama,4,35000000.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:27:17,Jiji
Kubwa,1,2300000.0,Apartment,Apartment,"1bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:27:17,Jiji
Jahi,3,10000000.0,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:27:26,Jiji
Maitama,5,50000000.0,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:27:26,Jiji
Maitama,3,10000000.0,Apartment,Apartment,3bdrm Block of Flats in Maitama for rent,2026-05-30 13:27:26,Jiji
Wuye,4,16000000.0,Duplex,Detached Duplex,4bdrm Duplex in Wuye for rent,2026-05-30 13:27:26,Jiji
Gwarinpa,3,9000000.0,House,House,"3bdrm Bungalow in Gwarimpa Estate,Fct, Gwarinpa for rent",2026-05-30 13:27:26,Jiji
Gwarinpa,4,10000000.0,House,House,"4bdrm Bungalow in Gwarimpa Extension, Gwarinpa for rent",2026-05-30 13:27:26,Jiji
Lokogoma,2,3999999.0,Apartment,Apartment,2bdrm Apartment in Lokogoma for rent,2026-05-30 13:27:26,Jiji
Maitama,3,17000000.0,Apartment,Apartment,3bdrm Apartment in Maitama for rent,2026-05-30 13:27:26,Jiji
Gudu,4,12000000.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Gudu for rent,2026-05-30 13:27:26,Jiji
Katampe,3,10000000.0,Apartment,Apartment,3bdrm Block of Flats in Katampe for rent,2026-05-30 13:27:26,Jiji
Wuye,2,4000000.0,Apartment,Apartment,"Furnished 2bdrm Apartment in Auta Ibrahim Street, Wuye for rent",2026-05-30 13:27:26,Jiji
Gwarinpa,2,200000.0,Apartment,Apartment,"Furnished 2bdrm Block of Flats in Gwarimpa Estate,Fct, Gwarinpa",2026-05-30 13:27:26,Jiji
Jabi,2,5500000.0,House,House,"2bdrm Bungalow in Efab City, Jabi for rent",2026-05-30 13:27:26,Jiji
Kaura,3,6000000.0,House,House,"Furnished 3bdrm Bungalow in Valley City Estate, Kaura for rent",2026-05-30 13:27:26,Jiji
Galadimawa,3,3800000.0,Apartment,Apartment,"3bdrm Block of Flats in Pries Estate, Galadimawa for rent",2026-05-30 13:27:26,Jiji
Gaduwa,4,7999999.0,Duplex,Detached Duplex,4bdrm Duplex in Gaduwa for rent,2026-05-30 13:27:26,Jiji
Kubwa,3,3800000.0,Apartment,Apartment,"Furnished 3bdrm Block of Flats in F01, Kubwa for rent",2026-05-30 13:27:26,Jiji
Jahi,4,18000000.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:27:26,Jiji
Katampe,3,10000000.0,Apartment,Apartment,3bdrm Block of Flats in Katampe for rent,2026-05-30 13:27:33,Jiji
Wuye,2,4000000.0,Apartment,Apartment,"Furnished 2bdrm Apartment in Auta Ibrahim Street, Wuye for rent",2026-05-30 13:27:33,Jiji
Jahi,4,10000000.0,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:27:33,Jiji
Jahi,4,18000000.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:27:33,Jiji
Asokoro,4,40000000.0,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:27:33,Jiji
Mabushi,4,15000000.0,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:27:33,Jiji
Jahi,3,25000000.0,Apartment,Apartment,Furnished 3bdrm Apartment in Jahi for rent,2026-05-30 13:27:33,Jiji
