District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At
Jahi,3,25000000,Apartment,Apartment,Furnished 3bdrm Apartment in Jahi for rent,2026-05-30 13:27:33
Jahi,2,22000000,Apartment,Apartment,Furnished 2bdrm Apartment in Jahi for rent,2026-05-30 13:27:33
Wuye,3,12000000,Apartment,Apartment,3bdrm Block of Flats in Wuye for rent,2026-05-30 13:27:33
Mabushi,4,12000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:27:33
Maitama,4,50000000,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:27:33
Jahi,2,15000000,Apartment,Apartment,Furnished 2bdrm Apartment in Jahi for rent,2026-05-30 13:27:33
Maitama,4,40000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:27:39
Jabi,6,55000000,Duplex,Detached Duplex,6bdrm Duplex in Jabi for rent,2026-05-30 13:27:39
Jahi,2,19000000,Apartment,Apartment,Furnished 2bdrm Apartment in Jahi for rent,2026-05-30 13:27:39
Kubwa,3,4000000,Apartment,Apartment,3bdrm Block of Flats in Apdc Estate Kubwa for rent,2026-05-30 13:27:39
Jabi,3,7000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:27:39
Wuye,3,5500000,Apartment,Apartment,3bdrm Block of Flats in Wuye for rent,2026-05-30 13:27:39
Wuye,3,8000000,Apartment,Apartment,3bdrm Apartment in Wuye for rent,2026-05-30 13:27:39
Asokoro,3,50000000,Duplex,Detached Duplex,"Furnished 3bdrm Duplex in Aso Villa, Asokoro for rent",2026-05-30 13:27:39
Maitama,5,65000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:27:39
Mabushi,4,12000000,House,House,4bdrm Penthouse in Mabushi for rent,2026-05-30 13:27:39
Durumi,3,5000000,Apartment,Apartment,3bdrm Block of Flats in Durumi for rent,2026-05-30 13:27:39
Maitama,6,80000000,Duplex,Detached Duplex,6bdrm Duplex in Maitama for rent,2026-05-30 13:27:39
Jahi,3,20000000,House,House,Furnished 3bdrm House in Jahi for rent,2026-05-30 13:27:39
Jahi,3,6500000,House,House,"3bdrm Bungalow in Nuggy, Jahi for rent",2026-05-30 13:27:39
Galadimawa,4,8000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Galadimawa for rent,2026-05-30 13:27:45
Utako,1,2000000,Apartment,Self Contain,Studio Apartment in Utako for rent,2026-05-30 13:27:45
Jabi,3,8000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:27:45
Jahi,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:27:45
Wuye,4,20000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:27:45
Mabushi,4,17000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:27:45
Maitama,4,30000000,Duplex,Detached Duplex,4bdrm Duplex in Maitama Main for rent,2026-05-30 13:27:45
