Property Type,Price (Per Annum),Location
2 bedroom house for rent,"₦5,000,000","Lugbe District, Abuja"
Shop for rent,"₦25,000,000","Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Utako, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Main Wuye, Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","By Zagada Filling Station, Gaduwa, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Main, Jabi, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","3rd Avenue, Gwarinpa, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","Off 69 Road, Gwarinpa, Abuja"
Office space for rent,"₦180,000","Wuse 2, Abuja"
5 bedroom detached bungalow for rent,"₦15,000,000","Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦15,000,000","Main Guzape, Guzape District, Abuja"
4 bedroom detached duplex for rent,"₦100,000,000","Wuse 2, Abuja"
4 bedroom semi-detached duplex for rent,"₦25,000,000","Gwarinpa, Abuja"
5 bedroom terraced duplex for rent,"₦35,000,000","Gilmore Tarred Rd, Jahi, Abuja"
4 bedroom flat / apartment for rent,"₦160,000,000","Alvan Ikoku Way, Maitama District, Abuja"
4 bedroom detached duplex for rent,"$80,000","Sunrise Estate, Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","Abdulhameed Zakari-keffi Street, Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦13,000,000","Wuye, Abuja"
Restaurant / bar for rent,"₦8,000,000","Zone 3, Wuse, Abuja"
3 bedroom detached bungalow for rent,"₦6,000,000","Gaduwa, Abuja"
5 bedroom semi-detached duplex for rent,"₦15,000,000","Gwarinpa, Abuja"
Commercial property for rent,"₦20,000,000","Galadimawa, Galadimawa, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦40,000,000","Jabi, Abuja"
2 bedroom flat / apartment for rent,"$50,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Guzape Main, Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Life Camp, Abuja"
6 bedroom terraced duplex for rent,"₦40,000,000","Main, Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Life Camp, Abuja"
1 bedroom flat / apartment for rent,"₦26,000,000","Ministers Hill, Maitama District, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Karu Phase 1, Karu, Abuja"
2 bedroom flat / apartment for rent,"₦23,000,000","Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦100,000,000","Main Abuja, Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦50,000,000","Wuse 2, Abuja"
Office space for rent,"₦150,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦20,000,000","Guzape District, Abuja"
5 bedroom semi-detached duplex for rent,"₦30,000,000","Off Amino Kano, Wuse 2, Abuja"
Office space for rent,"₦33,000,000","Wuse, Abuja"
5 bedroom detached duplex for rent,"₦40,000,000","Off Ademola Adetokumbo, Wuse, Abuja"
4 bedroom house for rent,"₦14,000,000","Cartersgroove Estate, Opposite Cedar Crest Hospital, Apo, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Rockvale Manors Estate, Apo, Abuja"
Church for rent,"₦35,000,000","Zone A, Apo, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,000,000","Efab Estate, Gwarinpa, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Gudab Estate, Life Camp, Abuja"
1 bedroom flat / apartment for rent,"₦4,500,000","By American International School, Durumi, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","After Navy Quarters, Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Life Camp, Abuja"
5 bedroom detached duplex for rent,"₦25,000,000","Dakwo, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦18,000,000","Utako, Abuja"
4 bedroom semi-detached bungalow for rent,"₦6,000,000","Sunny Vale Estate, Lokogoma District, Abuja"
2 bedroom flat / apartment for rent,"₦18,000,000","Utako, Abuja"
8 bedroom detached duplex for rent,"₦150,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦15,000,000","Aso Villa, Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦22,000,000","Aso Villa, Asokoro District, Abuja"
6 bedroom detached duplex for rent,"₦180,000,000","Asokoro District, Abuja"
6 bedroom detached duplex for rent,"₦70,000,000","Asokoro Extension, Asokoro District, Abuja"
Office space for rent,"₦170,000","Ty Danjuma, Asokoro District, Abuja"
7 bedroom detached duplex for rent,"₦80,000,000","Asokoro District, Abuja"
7 bedroom detached duplex for rent,"₦80,000,000","Asokoro District, Abuja"
5 bedroom semi-detached duplex for rent,"₦30,000,000","Asokoro Main, Asokoro District, Abuja"
6 bedroom terraced duplex for rent,"₦40,000,000","Asokoro Main, Asokoro District, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
7 bedroom detached duplex for rent,"₦100,000,000","Asokoro Main, Asokoro District, Abuja"
1 bedroom flat / apartment for rent,"₦7,000,000","Katampe, Abuja"
1 bedroom flat / apartment for rent,"₦2,000,000","By Sahara 4, Lokogoma District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Wuye, Wuye, Abuja"
12 bedroom detached duplex for rent,"$60,000","Aso Villa, Presidential Standard, Asokoro District, Abuja"
4 bedroom detached duplex for rent,"₦12,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦2,800,000","Dawaki District, Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","By Zagada Fillng Station, Gaduwa, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Area 2, Garki, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Wuse 2, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦8,000,000","Aso Villa, Asokoro District, Abuja"
3 bedroom commercial property for rent,"₦15,000,000","Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦12,000,000","Gaduwa, Abuja"
3 bedroom house for rent,"₦10,000,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
5 bedroom semi-detached duplex for rent,"₦30,000,000","Katampe Extension, Katampe, Abuja"
Office space for rent,"₦8,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Katampe Extension, Katampe, Abuja"
Shop for rent,"₦43,200,000","Wuse 2, Abuja"
Office space for rent,"₦19,800,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","Games Village, Kaura, Abuja"
4 bedroom semi-detached duplex for rent,"₦15,000,000","Idu Industrial, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Wuye, Abuja"
1 bedroom flat / apartment for rent,"₦3,500,000","Main, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Area 3, Garki, Abuja"
5 bedroom terraced duplex for rent,"₦65,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","Idu Industrial, Abuja"
3 bedroom detached bungalow for rent,"₦10,000,000","Extension, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Guzape District, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Jabi, Abuja"
2 bedroom terraced duplex for rent,"₦4,000,000","FO1 Layout, Kubwa, Abuja"
4 bedroom detached duplex for rent,"₦14,000,000","Gaduwa, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi Gilmore, Jahi, Abuja"
6 bedroom detached duplex for rent,"₦90,000,000","Maitama District, Abuja"
4 bedroom semi-detached duplex for rent,"₦25,000,000","Life Camp, Abuja"
3 bedroom detached bungalow for rent,"₦7,000,000","Gwarinpa, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","Ext, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦65,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Guzape Main, Guzape District, Abuja"
4 bedroom semi-detached duplex for rent,"₦8,000,000","Lokogoma District, Abuja"
28 bedroom hotel / guest house for rent,"₦250,000,000","Aso Drive, Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Wuye District, Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦7,500,000","Wuse 2, Abuja"
4 bedroom semi-detached duplex for rent,"₦8,000,000","Lokogoma District, Abuja"
2 bedroom flat / apartment for rent,"₦67,000,000","Lokogoma District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Close To Life Camp Junction, Life Camp, Abuja"
Plaza / complex / mall for rent,"₦12,000,000","Utako, Abuja"
3 bedroom flat / apartment for rent,"₦8,500,000","Farouk Moussa Street, Katampe (Main), Katampe, Abuja"
Office space for rent,"₦3,500,000","Garki, Abuja"
6 bedroom detached duplex for rent,"₦100,000,000","Guzape Main,close To The Coza Church,fct Abuja Nigeria, Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","Jabi Dakibiu, Jabi, Abuja"
5 bedroom terraced duplex for rent,"₦20,000,000","Citec Mbora By Jabi Extension Fct Abuja Nigeria, Mbora (Nbora), Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Opposite Sunnyvale, Kaura, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Femi Quadiri Street, Katampe (Main), Katampe, Abuja"
3 bedroom semi-detached duplex for rent,"₦15,000,000","Dantata Bridge, Galadimawa, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Navy Quarters, Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Associated Estate, Karmo, Abuja"
3 bedroom flat / apartment for rent,"₦4,500,000","Life Camp, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦1,500,000","Obasanjo Road Tipper Garage Axis, Dutse, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Lifecamp Junction, Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦2,500,000","Scc Road, Ushafa, Bwari, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","By Lois Edet House, Asokoro District, Abuja"
Plaza / complex / mall for rent,"₦10,000,000","Wuse 2, Abuja"
5 bedroom house for rent,"₦15,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Idu Industrial, Abuja"
6 bedroom terraced duplex for rent,"₦75,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","By Nzamiye Hospital, Idu Industrial, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Magistrate Court, Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Behind Nnpc, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Bem Estate, Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Area 1, Garki, Abuja"
13 bedroom house for rent,"₦65,000,000","Aso Villa, Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Katampe Main, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦48,000,000","After Jabi Lake Mall, Jabi, Abuja"
4 bedroom terraced duplex for rent,"₦35,000,000","Asokoro District, Abuja"
Shop for rent,"₦4,320,000","Gudu, Abuja"
3 bedroom flat / apartment for rent,"₦65,000,000","Aso Villa, Asokoro District, Abuja"
Office space for rent,"₦35,000,000","Central Business District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
3 bedroom terraced duplex for rent,"₦65,000,000","Aso Villa, Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Ameyo Adadevoh Way, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe Extension, Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Area 1, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Wuse 2, Abuja"
2 bedroom semi-detached bungalow for rent,"₦3,500,000","By Citec Estate*ully Tarred Rd(, Jabi, Abuja"
5 bedroom detached duplex for rent,"₦150,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Gaduwa, Abuja"
3 bedroom flat / apartment for rent,"₦1,800,000,000","Fha, Guzape District, Abuja"
5 bedroom semi-detached duplex for rent,"₦25,000,000","Close To Navy Quarters, Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","By Nepa, Apo, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Wuye Main, Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦7,500,000","By River Park, Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Wuse 2, Abuja"
6 bedroom terraced duplex for rent,"₦35,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","Indus Estate, Idu Industrial, Abuja"
Plaza / complex / mall for rent,"₦200,000,000","Wuse 2, Abuja"
5 bedroom terraced duplex for rent,"₦30,000,000","By Eco Bank, Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦5,500,000","American International School, Durumi, Abuja"
4 bedroom semi-detached duplex for rent,"₦25,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦50,000,000","Maitama District, Abuja"
3 bedroom detached duplex for rent,"₦100,000,000","Aso Villa, Asokoro District, Abuja"
4 bedroom semi-detached duplex for rent,"₦25,000,000","Utako, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Area 1 Axis., Durumi, Abuja"
Self contain (single rooms) for rent,"₦1,200,000","Galadimawa, Abuja"
8 bedroom detached duplex for rent,"₦120,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","By Turkish Hospital, Idu Industrial, Abuja"
5 bedroom detached duplex for rent,"₦8,000,000","Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Wuye Main, Wuye, Abuja"
4 bedroom flat / apartment for rent,"₦160,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦9,000,000","Galadimawa, Abuja"
Self contain (single rooms) for rent,"₦1,500,000","Games Village, Kaura, Abuja"
4 bedroom terraced duplex for rent,"₦40,000,000","By Coza, Guzape District, Abuja"
4 bedroom flat / apartment for rent,"₦8,000,000","Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦160,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦12,500,000","By Gilmore, Jahi, Abuja"
6 bedroom detached duplex for rent,"$150,000","Maitama District, Abuja"
5 bedroom terraced duplex for rent,"₦10,000,000","Katampe (Main), Katampe, Abuja"
5 bedroom semi-detached duplex for rent,"₦7,500,000","Army Scheme Estate, Kubwa, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Wuse, Abuja"
5 bedroom detached duplex for rent,"₦50,000,000","Kado, Abuja"
4 bedroom terraced duplex for rent,"₦14,000,000","Estate.dakibiu ,jabi Airport Bypass, Near Kings Court Estate, Dakibiyu, Abuja"
4 bedroom terraced duplex for rent,"₦11,000,000","Gudu, Abuja"
3 bedroom detached bungalow for rent,"₦4,000,000","Von Estate, Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","Gaduwa District, Gaduwa, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Adamu Aliero Crescent, Guzape District, Abuja"
3 bedroom detached bungalow for rent,"₦4,500,000","Aco Estate Off Airport Road, Lugbe District, Abuja"
5 bedroom detached duplex for rent,"₦50,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Guzape District, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
Warehouse for rent,"₦4,500,000","Gwarinpa, Abuja"
Office space for rent,"₦2,000,000","2nd Avenue, Besides Drugmart And Greens Pharmacy, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦4,000,000","Kaura, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Babatope Ajakaije, Jahi, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Katampe Extension, Katampe, Abuja"
6 bedroom detached duplex for rent,"₦45,000,000","Wuse 2, Abuja"
Shop for rent,"₦15,000,000","Off Ademola Adetokunbo Crescent, Wuse 2, Abuja"
3 bedroom house for rent,"₦25,000,000","Aso Drive, Asokoro District, Abuja"
Office space for rent,"₦150,000,000","Maitama District, Abuja"
Office space for rent,"₦10,000,000","Jabi, Abuja"
Office space for rent,"₦4,500,000","2nd Avenue Beside Drug Mart And Green Pharmacy, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi Main, Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi Main, Mabushi, Abuja"
4 bedroom semi-detached duplex for rent,"₦35,000,000","Amino Kano Crescent, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Ebano Supermarket, Lokogoma District, Abuja"
