Property Type,Price (Per Annum),Location
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Katampe, Abuja"
Self contain (single rooms) for rent,"₦1,500,000","Guzape District, Abuja"
Self contain (single rooms) for rent,"₦850,000","Guzape District, Abuja"
Self contain (single rooms) for rent,"₦650,000","In Apo Dutse Community, Apo, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja"
1 bedroom flat / apartment for rent,"₦3,500,000","Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦2,500,000","Area 1, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Riverpark Estate Along Airport Road By Dunamis Church, Lugbe District, Abuja"
3 bedroom detached bungalow for rent,"₦6,000,000","Emerald Flower City Estate, Lokogoma District, Abuja"
4 bedroom semi-detached duplex for rent,"₦11,000,000","Before Cedarcrest Hospital, Zone B, Apo, Abuja"
2 bedroom flat / apartment for rent,"₦3,900,000","News Engineering, Dawaki, Gwarinpa, Abuja"
5 bedroom detached duplex for rent,"₦80,000,000","Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦5,000,000","Gwarinpa Extension  Estate, Gwarinpa, Abuja"
6 bedroom detached duplex for rent,"₦50,000,000","Asokoro District, Abuja"
6 bedroom detached duplex for rent,"₦60,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","By Judges Quarters, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Guzape District, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","News Engineering Extension, Dawaki, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Idu Industrial, Abuja"
6 bedroom terraced duplex for rent,"₦23,000,000","Katampe Extension, Katampe, Abuja"
Self contain (single rooms) for rent,"₦750,000","Asokoro Extension,  Kpaduna 3, Asokoro District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦1,300,000","Asokoro Extension,  Kpaduma 3, Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Asokoro District, Abuja"
Self contain (single rooms) for rent,"₦750,000","Asokoro Extension,  Kpaduma 3, Asokoro District, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","69 Road, Gwarinpa, By Abiodun Falade Hospital Just After Charley Boy, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","By Gishiri, Katampe (Main), Katampe, Abuja"
1 bedroom flat / apartment for rent,"₦5,500,000","Kado, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Kado, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,000,000","Mabushi, Abuja"
6 bedroom detached duplex for rent,"₦60,000,000","Katampe Extension, Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦7,500,000","Mabushi, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Sunnyvale Estate, Galadimawa, Abuja"
5 bedroom terraced duplex for rent,"₦10,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦17,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦17,000,000","Utako, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000","Lokogoma District, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
Self contain (single rooms) for rent,"₦1,800,000","Galadimawa, Abuja"
3 bedroom detached bungalow for rent,"₦5,000,000","Sungold, Galadimawa, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Guzape, Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja"
5 bedroom terraced duplex for rent,"₦30,000,000","Guzape, Guzape District, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
1 bedroom flat / apartment for rent,"₦2,000,000","Gwarinpa Extension, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦7,000,000","Military Pension Board Axis, FO1 Layout, Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Katampe (Main), Katampe, Abuja"
6 bedroom detached duplex for rent,"₦50,000,000","Before Sunrise Hill Estate, Asokoro District, Abuja"
4 bedroom semi-detached duplex for rent,"₦60,000,000","Palm Springs, Maitama 2, Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦4,500,000","Dawaki, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
4 bedroom semi-detached duplex for rent,"₦6,000,000","Off Linda Chalker Street, Asokoro District, Abuja"
4 bedroom detached duplex for rent,"₦30,000,000","Zone 1, Wuse, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Guzape District, Abuja"
3 bedroom house for rent,"₦15,000,000","Guzape District, Abuja"
5 bedroom semi-detached duplex for rent,"₦55,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Whitescape Apartments, Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Area 2, Garki, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦40,000,000","Wuse 2, Abuja"
